# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
    0      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8497    0.8498 -0.0002
   10      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8498    0.8542  0.0087
   20      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8499    0.8575  0.0183
   30      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8501    0.8619  0.0267
   40      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8502    0.8654  0.0361
   50      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8504    0.8688  0.0441
   60      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8498    0.8725  0.0532
   70      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8501    0.8770  0.0626
   80      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8496    0.8805  0.0714
   90      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8498    0.8839  0.0797
  100      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8504    0.8881  0.0892
  110      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8502    0.8913  0.0977
  120      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8502    0.8957  0.1061
  130      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8505    0.8993  0.1156
  140      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8504    0.9029  0.1242
  150      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8499    0.9069  0.1331
  160      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8499    0.9105  0.1422
  170      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8501    0.9134  0.1507
  180      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8502    0.9179  0.1588
  190      NaN     NaN       NaN     NaN       NaN     NaN    2.1245  0.8498    0.9212  0.1685
  200      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8503    0.9247  0.1764
  210      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8498    0.9288  0.1860
  220      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8498    0.9324  0.1940
  230      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8502    0.9358  0.2031
  240      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8498    0.9392  0.2115
  250      NaN     NaN       NaN     NaN       NaN     NaN    2.1250  0.8503    0.9428  0.2202
  260      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8502    0.9461  0.2289
  270      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8505    0.9505  0.2377
  280      NaN     NaN       NaN     NaN       NaN     NaN    2.1248  0.8504    0.9542  0.2464
  290      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8501    0.9570  0.2557
  300      NaN     NaN       NaN     NaN       NaN     NaN    2.1253  0.8498    0.9606  0.2638
  310      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8498    0.9642  0.2727
  320      NaN     NaN       NaN     NaN       NaN     NaN    2.1251  0.8497    0.9681  0.2817
  330      NaN     NaN       NaN     NaN       NaN     NaN    2.1252  0.8503    0.9716  0.2898
  340      NaN     NaN       NaN     NaN       NaN     NaN    2.1254  0.8497    0.9752  0.2984
  350      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8501    0.9787  0.3074
  360      NaN     NaN       NaN     NaN       NaN     NaN    2.1255  0.8501    0.9824  0.3161
  370      NaN     NaN       NaN     NaN       NaN     NaN    2.1246  0.8504    0.9860  0.3241
  380      NaN     NaN       NaN     NaN       NaN     NaN    2.1249  0.8497    0.9888  0.3332
